Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
The Devil’s Dice,Roz Watkins,"A DI Meg Dalton thriller, (#1.0)",Read,Public,542713,30499010,0008214638,9780008214630,,Book,,,,393,,2018-03-08,,,,,,"",2018-08-30,"",2018-09-03,4.0,,false,false,2018-09-03T00:00:00Z,,,,false,No,{}
So Say the Fallen,Stuart Neville,DCI Serena Flanagan (#2.0),Read,Public,381714,15327475,1616957395,9781616957391,,Book,,,,356,,2016-01-01,,,,,,"",2018-07-07,"",2018-09-12,3.0,"Great procedural

If you're into procedurals, you'll enjoy this! I lean towards crime novels that include the police portion, so it lacked the book for me. It's a very realistic story, though, and I read it quickly so it's good.",false,false,2018-09-12T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""Great procedural"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""If you're into procedurals, you'll enjoy this! I lean towards crime novels that include the police portion, so it lacked the book for me. It's a very realistic story, though, and I read it quickly so it's good."", ""object""=>""text""}]}]}}"
In Colder Blood,"J.T. Hunter, R.J. Parker, Don Kline (Narrator)",,Read,Public,798386,30805008,,,,Book,us,en,,,,2016-09-18,,,,,,"",2018-07-20,"",2018-07-20,3.0,,false,false,2018-07-20T00:00:00Z,,,,false,No,{}
Hangman,Jack Heath,Timothy Blake (#1.0),Read,Public,38433,30452513,176029747X,9781760297473,,Book,us,en,,280,,2018-01-02,Hanover Square,,,,,"",2018-07-07,"",2018-07-11,4.0,"Didn't want to put it down

The perfect mix of macabre humor, action, and human behavior. The riddles were a fun bonus, I had to look a few up.",false,false,2018-07-11T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""Didn't want to put it down"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""The perfect mix of macabre humor, action, and human behavior. The riddles were a fun bonus, I had to look a few up."", ""object""=>""text""}]}]}}"
Adjustment Day,Chuck Palahniuk,,Read,Public,482046,30422057,0393652599,9780393652598,,Book,,,,336,,2018-05-01,,,,,,"",2018-06-10,"",2018-07-07,3.0,"Clever

There are some wonderful lines and overall the sarcasm is fun. It got a little too fantastical for taste, but it was entertaining.",false,false,2018-07-07T00:00:00Z,,,,false,No,"{""document""=>{""object""=>""document"", ""children""=>[{""data""=>{}, ""type""=>""paragraph"", ""object""=>""block"", ""children""=>[{""bold""=>true, ""text""=>""Clever"", ""object""=>""text""}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""data""=>{}, ""type""=>""br"", ""object""=>""inline"", ""children""=>[]}, {""text""=>""There are some wonderful lines and overall the sarcasm is fun. It got a little too fantastical for taste, but it was entertaining."", ""object""=>""text""}]}]}}"
"Life: Politics, Human Rights, and What the Buddha Said About Life","Hsing Yun, Robert Smitheram, John Gill (Editor), Nathan Michon (Editor)",,Read,Public,798387,30805009,1932293469,9781932293463,,Book,us,,,,,2011-08-09,,,,,,"",2013-02-02,"",2013-08-10,5.0,,false,false,2013-08-10T00:00:00Z,,,,false,No,{}
The Kremlin's Candidate,Jason  Matthews,Red Sparrow Trilogy (#3.0),Read,Public,601496,30571545,1508227640,9781508227649,,Book,us,en,,434,,2018-02-13,Scribner,,,,,"",2018-03-21,"",2018-04-05,5.0,,false,false,2018-04-05T00:00:00Z,,,,false,No,{}
Palace of Treason,Jason  Matthews,Red Sparrow Trilogy (#2.0),Read,Public,376020,30500620,1405920831,9781405920834,,Book,us,en,,608,,2015-06-02,Penguin Books Limited,,,,,"",2018-03-11,"",2018-03-21,5.0,,false,false,2018-03-21T00:00:00Z,,,,false,No,{}
The Force,Don Winslow,,Read,Public,160667,30403393,0062664417,9780062664419,,Book,us,en,,496,,2017-01-01,William Morrow,,,,,"",2017-10-08,"",2017-10-19,4.0,,false,false,2017-10-19T00:00:00Z,,,,false,No,{}
Aftermath,Peter Robinson,Inspector Banks (#12.0),Read,Public,148679,18506121,006240024X,9780062400246,,Book,us,en,,532,,2001-10-02,Pan Macmillan,,,,,"",2017-09-06,"",2017-09-17,,,false,false,2017-09-17T00:00:00Z,,,,false,No,{}
"The Serial Killer Files: The Who, What, Where, How, and Why of the World's Most Terrifying Murderers",Harold Schechter,,Read,Public,798389,30805011,,,B000FC0Y0E,Ebook,us,en,,432,,2003-12-30,,,,,,"",2017-06-26,"",2017-08-30,3.0,,false,false,2017-08-30T00:00:00Z,,,,false,No,{}
Once Taken,Blake Pierce,Riley Paige (#2.0),Read,Public,1881156,30805010,1632915642,9781632915641,,Book,us,en,,296,,2016-02-14,Blake Pierce,,,,,"",2017-09-03,"",2017-09-06,4.0,,false,false,2017-09-06T00:00:00Z,,,,false,No,{}
How to Start a Podcast: From 0 to 10 million downloads per month. One year with Casefile True Crime Podcast,Mike Migas,,Read,Public,798390,30805012,,,,Book,us,,,,,,,,,,,"",2017-08-09,"",2017-08-17,4.0,,false,false,2017-08-17T00:00:00Z,,,,false,No,{}
Dead Silent,Mark Roberts,DCI Eve Clay (#2.0),Read,Public,798391,30805013,,,,Book,us,en,,,,2016-05-05,,,,,,"",2016-12-01,"",2016-12-01,3.0,,false,false,2016-12-01T00:00:00Z,,,,false,No,{}
